Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LiekensGoedele	Liekens, Goedele	F	1963	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	ReynaertVicky	Reynaert, Vicky	F	1985	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Les Engagés	Les Engagés	Opposition	Centre	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	LacroixChristophe	Lacroix, Christophe	M	1966	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanBossuytAnneleen	Van Bossuyt, Anneleen	F	1980	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PonthierAnnick	Ponthier, Annick	F	1971	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	DeMaegdMichel	De Maegd, Michel	M	1969	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	DeVuystSteven	De Vuyst, Steven	M	1987	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	Les Engagés	Les Engagés	Opposition	Centre	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u31	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2022-06-01-voorlopig-55-commissie-ic803x	ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic803x.u32	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-06-2022	2022-06-01	Committee	Zittingperiode 55	-	-	-	-	COVID,War	English	Chairperson	-	-	-	-	-	-	-	-	-	-
