Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e30	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e162	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e169	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e176	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e179	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KY	Yrvin, Karin	F	1970	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e225	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e228	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ELN	Nørve, Elisabeth Røbekk	F	1951	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e249	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e265	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e282	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TP	Pedersen, Torny	F	1946	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e293	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KFOS	Fostervold, Kåre	M	1969	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e314	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e328	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.RE	Eriksson, Robert	M	1974	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e348	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e367	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.TMV	Vedum, Trygve Slagsvold	M	1978	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e380	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.OBM	Moe, Ola Borten	M	1976	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e395	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e409	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e435	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e452	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e469	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.EAS	Aspaker, Elisabeth Vik	F	1962	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e486	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TALI	Lien, Tord	M	1975	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e503	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KETS	Solvik-Olsen, Ketil	M	1972	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e524	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e539	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e552	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TELA	Aasland, Terje	M	1965	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e569	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e581	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IVK	Kristiansen, Ivar	M	1956	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e605	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.TMV	Vedum, Trygve Slagsvold	M	1978	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e614	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HEIS	Sørensen, Heidi	F	1970	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e633	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e646	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JAE	Ellingsen, Jan Arild	M	1958	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e658	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e661	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e668	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e682	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e685	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e692	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.BÅH	Hoksrud, Bård	M	1973	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e708	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e711	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.OBM	Moe, Ola Borten	M	1976	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e718	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e721	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TELA	Aasland, Terje	M	1965	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e733	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e736	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KETS	Solvik-Olsen, Ketil	M	1972	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e743	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e746	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e755	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e758	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e763	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e773	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e781	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e823	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e830	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e844	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
