Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66063	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66064	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	PetronijevićMilisav	Petronijević, Milisav	M	1949	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66065	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66066	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Regular	MP	notMinister	LDP	Liberalno-demokratska partija	Coalition	Centre	ĐurićBojan	Đurić, Bojan	M	1978	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66067	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66068	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	MilićevićĐorđe	Milićević, Đorđe	M	1978	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66069	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66070	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Coalition	Right	LapčevićMilan	Lapčević, Milan	M	1969	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66071	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2012-02-27-0	ParlaMint-RS_2012-02-27-0.u66072	Term 8, Meeting v1	2012-02-27	Unicameralism	8. mandat	-	Zasedanje v1	2012-02-27	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	TabakovićJorgovanka	Tabaković, Jorgovanka	F	1960	
