Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u31	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u32	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u33	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	MaingainOlivier	Maingain, Olivier	M	1958	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u34	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u35	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u36	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u37	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u38	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u39	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u40	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u41	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u42	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u43	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u44	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
