Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	BačičMarija	Bačič, Marija	F	1947	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZL	United Left	Opposition	Left	MesecLuka	Mesec, Luka	M	1987	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	DimicIva	Dimic, Iva	F	1972	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZaAB	Alliance of Alenka Bratušek	Opposition	Centre-left	MöderndorferJankoJani	Möderndorfer, Jani	M	1965	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u20	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	GrošeljKošnikIrena	Grošelj Košnik, Irena	F	1957	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u21	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
