Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u12	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u13	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u14	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u15	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u16	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Opposition	Centre to centre-right	VitRakusan.1978	Rakušan, Vít	M	1978	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u17	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u18	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u19	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u20	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	KaterinaValachova.1976	Valachová, Kateřina	F	1976	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u21	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u22	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Opposition	Centre to centre-right	JiriMihola.1972	Mihola, Jiří	M	1972	
ParlaMint-CZ-en_2019-10-24-ps2017-035-07-003-155	ParlaMint-CZ_2019-10-24-ps2017-035-07-003-155.u23	Parliament of the Czech Republic, Chamber of Deputies, 2019-10-24	2019-10-24	Lower house	ps2017	-	ps2017/035	ps2017/035/07	ps2017/035/155	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	TomasHanzel.1975	Hanzel, Tomáš	M	1975	
