Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u28	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u29	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u30	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	Más País-Equo	Más País - Equo	Opposition	Centre-left to left	ÍñigoErrejónGalván	Errejón Galván, Íñigo	M	1983	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u31	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u32	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	Más País-Equo	Más País - Equo	Opposition	Centre-left to left	ÍñigoErrejónGalván	Errejón Galván, Íñigo	M	1983	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u33	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u34	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u35	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u36	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Left to far-left	MireiaVehíCantenys	Vehí Cantenys, Mireia	F	1985	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u37	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u38	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Left to far-left	MireiaVehíCantenys	Vehí Cantenys, Mireia	F	1985	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u39	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u40	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Left to far-left	MireiaVehíCantenys	Vehí Cantenys, Mireia	F	1985	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u41	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u42	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	EH Bildu	Euskal Herria Bildu	Opposition	Centre-left to left	IñakiRuizDePinedoUndiano	Ruiz De Pinedo Undiano, Iñaki	M	1954	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u43	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u44	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	JosuneGorospeElezcano	Gorospe Elezcano, Josune	F	1969	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u45	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u46	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	JosuneGorospeElezcano	Gorospe Elezcano, Josune	F	1969	
