Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15343	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15354	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	DNS	Demokratski narodni savez	Opposition	Centre-right	KunićPetar	Kunić, Petar	M	1949	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15355	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15356	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15357	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15358	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15359	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15360	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15361	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15362	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15363	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15364	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2013-06-06-0	ParlaMint-BA_2013-06-06-0.u15365	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 49	2013-06-06	Unicameralism	6. mandat	-	Sjednica 49	2013-06-06	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
