Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u11	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u12	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	OrriJohannsson	Jóhannsson, Orri Páll	M	1978	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u13	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u14	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	SigmundurGunnlaugsson	Gunnlaugsson, Sigmundur Davíð	M	1975	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u15	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	JohannJohannsson	Jóhannsson, Jóhann Páll	M	1992	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u16	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BerglindGudmundsdottir	Guðmundsdóttir, Berglind Ósk	F	1993	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u17	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	AsthildurTHorsdottir	Þórsdóttir, Ásthildur Lóa	F	1966	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u18	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	StefanStefansson1972	Stefánsson, Stefán Vagn	M	1972	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u19	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	ArndisGunnarsdottir	Gunnarsdóttir, Arndís Anna Kristínardóttir	F	1982	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u20	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BjarniJonsson	Jónsson, Bjarni	M	1966	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u21	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	THorbjorgGunnlaugsdottir	Gunnlaugsdóttir, Þorbjörg Sigríður	F	1978	
ParlaMint-IS-en_2022-06-08	ParlaMint-IS_2022-06-08.u22	Speeches in the national parliament of Iceland, 24. term, unregistered meeting 08.06.2022.	2022-06-08	Unicameralism	24. kjörtímabil	152. löggjafarþing	Óskráður	-	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	BergthorOlason	Ólason, Bergþór	M	1975	
