Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e33	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e178	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ADA	Dahl, André Oktay	M	1975	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e191	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e227	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MOJ	Johansen, Morten Ørsal	M	1964	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e240	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e249	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ADA	Dahl, André Oktay	M	1975	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e259	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KNUS	Storberget, Knut	M	1964	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e266	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e274	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e282	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e290	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2007-10-09	ParlaMint-NO_2007-10-09.ana.ud2555e330	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-10-09	2007-10-09	Unicameralism	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
