Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e26	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e256	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.MOM	Mæland, Monica	F	1968	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e265	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.SHB	Bjørnstad, Sivert	M	1990	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e298	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e331	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TEB	Breivik, Terje	M	1965	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e344	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FBJ	Bakke-Jensen, Frank	M	1965	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e364	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e394	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.PAF	Farstad, Pål	M	1959	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e410	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e413	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.MOM	Mæland, Monica	F	1968	
ParlaMint-NO-en_2016-02-18	ParlaMint-NO_2016-02-18.ana.ud1348e426	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2015-2016, Sitting day 2016-02-18	2016-02-18	Unicameralism	Term 2013-2017	Session 2015-2016	-	Sitting day 2016-02-18	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
