Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	BerenikaPestova.1971	Peštová, Berenika	F	1971	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u17	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u18	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u19	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u20	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u21	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
