Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	JaroslavBasta.1948	Bašta, Jaroslav	M	1948	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u17	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u18	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u19	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u20	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PetrBeitl.1966	Beitl, Petr	M	1966	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u21	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
