Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e31	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e169	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e179	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e193	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e225	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.TROH	Helleland, Trond	M	1962	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e258	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e265	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e302	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e310	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e316	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e415	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e445	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e497	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e504	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e552	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e559	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
