Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Guest	notMP	Minister	D66	Democraten 66	-	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Guest	notMP	Minister	D66	Democraten 66	-	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Guest	notMP	Minister	D66	Democraten 66	-	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Guest	notMP	Minister	D66	Democraten 66	-	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Guest	notMP	Minister	D66	Democraten 66	-	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u22	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
