Year,AT,BA,BE,BG,CZ,DK,EE,ES,ES-CT,ES-GA,ES-PV,FI,FR,GB,GR,HR,HU,IS,IT,LV,NL,NO,PL,PT,RS,SE,SI,TR,UA
2011,0.007175219606142494,-0.03300358509711387,,,,,-0.013766528489213656,,,,,,,,,0.04301467235846858,,,,,,0.037254631839459734,,,0.01604890446954717,,0.008435715280938887,0.01835071571016063,-0.0011290773509244861
2012,0.018284155741437436,-0.024513178053894073,,,,,0.01919284636419938,,,,,,,,,0.013824874088944249,,,,,,0.0561321687418967,,,-0.003047460049856442,,0.037004370429106814,-0.008877350861439471,0.012304871472426595
2013,0.010153410164639345,-0.019459702275020772,,,-0.049827211757656156,,-0.003058076423621967,,,,,,,,,0.015408304809372756,,,0.02782125603807798,,,0.05019384659438702,,,0.0038355984854408377,,0.01400187383114826,-0.014257565943989896,-0.013653984358825243
2014,0.021709470269138362,0.006047074266916759,0.017816717954701744,-0.012494916070459602,-0.008014287919245864,0.028156430939108936,-0.0022629850492295253,,,,,,,,,0.018472768456558687,0.05412949424094725,,0.019580231234431252,0.006909447705506206,0.02985431653360136,0.05551681102305233,,,0.003894230198865341,,0.025197653361828987,-0.00436459000629838,-0.0007930444068430644
2015,0.022669304642477062,-0.02527019016755122,0.019656491480418488,-0.009235342162557753,0.005101325781045789,0.020218768545115975,0.015806590248959973,0.04130383342724141,0.007697641408109719,0.018419543793424968,0.042745258644572445,0.013715029791152716,,0.040387110493611524,0.012948147830320514,0.0031159695936366933,0.050589610415045144,-0.0021308284873763827,0.019132650818210084,0.004925092308050281,0.011626403054429416,0.04524858742176242,0.0064074179131744635,0.0169655655303763,0.027967227256158356,0.0610466523794457,0.018637870748837774,-0.008554553620342624,-0.022169898258653113
2016,0.012685893048183062,-0.006014788126776677,0.029750756634813216,-0.0007397259954208019,0.010799485622555954,0.01360995521665446,0.0048956137507048005,0.012842392727179667,0.03142721439588865,0.032616953146680304,0.013708360562304723,0.03787756100872581,,0.018672921205870812,0.009397455945145336,0.015911409208557513,0.036004150415667215,0.007554536954153757,-0.005374508722161405,0.003309860872832363,0.024686440298359622,0.03946700594897263,0.008708954504173659,0.01704313450609333,0.010860214992943727,0.05348936410155144,0.0070136459431119486,-0.015549189418925377,-0.015800432945252386
2017,0.022160802560392767,0.018141007765994532,0.015072535613500002,-0.0013463907525874575,0.00217868145490583,0.020356275997619362,0.005147613477311097,0.0192899757692228,0.02468679589542766,0.01616200570642831,0.02216356321878265,0.034895055946738744,0.024740317196119563,0.033972851265894444,-0.00470330725074745,0.02618805627571417,0.04182436532528297,0.02470539828128592,0.007612774329754735,-0.004673621251380868,0.017079717110997674,0.043453951214259066,0.0021779016173645235,0.02278248055081348,0.017753444938635867,0.052045488070386114,0.004575367984620656,-0.01636028417415217,-0.01866566610988228
2018,0.03054563336627324,-0.018177854579075097,0.012186767733914564,-0.013927376117660754,0.0034108922247671394,0.003562933144470055,0.014641776197822759,0.03615057774974653,0.02295957386377266,0.0280806534574367,0.027075469086412327,0.03710652920708523,0.029127354114461913,0.02037885583963038,0.008961382554844013,0.02923724556522856,0.05930476131228107,0.027743927468287015,-0.005741779446705354,-0.00417834440512317,0.00988847335490086,0.04758768416407593,-0.0014904986148596606,0.007498699999268868,0.017548279915354202,0.06678917582515467,0.010860239304020072,-0.00034758222884395597,-0.009161272137943228
2019,0.010529121460017946,0.07036186494660793,0.028722062322776763,-0.001722991408314547,0.012815071800206265,0.024940553295164113,-0.025443459540838362,0.05808130620668328,0.01713498073950176,0.007774578483076758,0.028594377515320138,0.042422412092693956,0.018618394166696816,0.026767881911655394,0.015512817863054798,0.01012350404764423,0.026600309893385403,0.013346515595912921,0.029252707317937145,0.03642588028580777,0.019111403769875315,0.049394727166509236,0.0018944204138178033,0.00694274134584702,0.004046190361906254,0.0448034775050473,0.022627833249862297,-0.0018743767315754594,0.002331686712568626
2020,0.026257292431546352,-0.03863422881944902,0.019649058568757018,-0.026895489653624163,0.008254030292543266,0.015581746611537193,0.04118761296849696,0.04164312243956371,0.0356503766699461,0.018370205504147127,0.016316187407937815,0.034376969884356665,0.014428544175098068,0.036888804898626386,0.015774336168760783,0.01507775605714413,0.029562613103189483,0.015000857749126014,0.04416950178565454,0.0012274193318767756,0.01962666099360729,0.0393810450856108,0.0020051794255980227,0.03145292271692594,-0.003800339887675361,0.038745801046995106,0.0033686589042190435,-0.005463456083089105,-0.01626493111252783
2021,0.004879995758528823,-0.019051155204319253,0.025781162483326608,-0.017542973008757037,0.006232998980623147,0.0103737192985136,0.02081724926829337,0.02809302332752849,0.04179660079535094,0.018097897202278536,0.01739469003787234,0.03852099668034091,0.02428453329448529,0.04106452480191363,0.0008848007244523628,0.009510462591424575,0.03872496166473459,0.01918424042782538,0.027480253521935078,0.028267733261196144,0.02670725530661,0.035598177647261746,0.007016475006720521,0.03131680903607046,0.03422941780736437,0.059868540827301295,0.014423015434294927,-0.014070288062794123,0.02257414995401631
2022,0.011659110309362099,-0.04964268683397673,0.02178095949348061,-0.02748421868697429,0.020902204180957687,0.01800677682331296,0.02494316786760463,0.04213946394156661,0.049059045198373466,0.00569799216464161,0.026683380655918458,-0.057374200783669914,0.01485366416939844,0.025251136114820827,-0.003282114288595039,0.019022999857649367,0.03333590063670674,0.010309877048712212,0.030955942015862076,0.0019654764586852762,0.005461950205952036,0.029490917161132908,0.0003719464212837104,0.00837432860280388,0.004732943605631572,0.044799495476036066,0.03597215910849626,-0.005386393704813798,0.007623772540682677
2023,,,,,0.011677030845829797,,,0.054061361898978505,,,,,,,,,0.05043133450413329,,,,,,,0.008825544643008866,,,,,-0.015314246113929474
2024,,,,,,,,,,,,,,,,,,,,,,,,0.04479128275609883,,,,,
