Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	MillerRichard	Miller, Richard	M	1954	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u31	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u32	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u33	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u34	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u35	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u36	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u37	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u38	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanvelthovenPeter	Vanvelthoven, Peter	M	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u39	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanCauterCarina	Van Cauter, Carina	F	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u40	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u41	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanCauterCarina	Van Cauter, Carina	F	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u42	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u43	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanCauterCarina	Van Cauter, Carina	F	1962	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u44	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VerherstraetenServais	Verherstraeten, Servais	M	1960	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u45	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2018-09-12-54-commissie-ic958x	ParlaMint-BE_2018-09-12-54-commissie-ic958x.u46	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-09-2018	2018-09-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
