Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	LilianMarijnissen	Marijnissen, Lilian	F	1985	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Coalition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u17	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u18	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u19	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u20	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2017-09-05-tweedekamer-2	ParlaMint-NL_2017-09-05-tweedekamer-2.u21	Report of the meeting of the Dutch Lower House, Meeting 98, Session 2 (2017-09-05)	2017-09-05	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 98	Sitting 2017-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
