Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e18	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e153	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e160	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e167	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e178	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e185	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e193	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e202	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e209	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e214	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e221	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e228	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e235	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.KNAH	Hareide, Knut Arild	M	1972	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e242	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e251	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e254	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e261	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e271	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e278	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e285	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e288	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e297	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e300	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KETS	Solvik-Olsen, Ketil	M	1972	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e309	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e316	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KETS	Solvik-Olsen, Ketil	M	1972	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e321	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ARK	Kambe, Arve	M	1974	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e330	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e337	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ØH	Håbrekke, Øyvind	M	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e347	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e354	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ØH	Håbrekke, Øyvind	M	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e361	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e368	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e371	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JAE	Ellingsen, Jan Arild	M	1958	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e397	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IME	Søreide, Ine Eriksen	F	1976	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e418	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e441	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.KJT	Toppe, Kjersti	F	1967	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e471	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.BT	Tenden, Borghild	F	1951	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e486	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e489	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TRUW	Wickholm, Truls	M	1978	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e497	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.BT	Tenden, Borghild	F	1951	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e502	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TRUW	Wickholm, Truls	M	1978	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e509	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.BT	Tenden, Borghild	F	1951	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e514	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e519	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.BT	Tenden, Borghild	F	1951	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e526	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ESAN	Sande, Erling	M	1978	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e533	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.BT	Tenden, Borghild	F	1951	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e538	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e541	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e571	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PO	Olsen, Per Arne	M	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e594	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SAF	Flåtten, Svein	M	1944	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e616	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.BVS	Solhjell, Bård Vegar	M	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e651	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e654	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OG	Grimstad, Oskar J.	M	1954	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e659	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.BVS	Solhjell, Bård Vegar	M	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e674	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SME	Meling, Siri A.	F	1963	
