Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e29	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e240	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e248	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e282	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e298	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e360	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e764	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e795	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e822	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e832	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e842	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e852	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
