Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u1	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u23	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	ChristopherGreen	Green, Christopher James	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u24	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	LucyLeighFrazer	Leigh (Frazer), Lucy Claire	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u25	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u26	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	ChristopherGreen	Green, Christopher James	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u27	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u28	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	LucyLeighFrazer	Leigh (Frazer), Lucy Claire	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u29	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u30	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	HeidiAlexander	Alexander, Heidi	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u31	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u32	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	NeilCoyle	Coyle, Neil	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u33	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u34	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	HuwMerriman	Merriman, Huw William	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u35	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u36	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	LucianaGoldsmithBerger	Goldsmith (Berger), Luciana Clare	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u37	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u38	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	SimonHoare	Hoare, Simon James	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u39	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u40	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	SimonHoare	Hoare, Simon James	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u41	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u42	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	RosalieWinterton	Winterton, Rosalie	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u43	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u44	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	CharlesWalker	Walker, Charles Ashley Rupert	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u45	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u46	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	IanAustin	Austin, Ian	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u47	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u48	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	MarkPawsey	Pawsey, Mark Julian Francis	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u49	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u50	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	DUP	Democratic Unionist Party	-	Right	GregoryCampbell	Campbell, Gregory Lloyd	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u51	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u52	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	BarbaraKeeley	Keeley, Barbara Mary	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u53	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyHunt	Hunt, Jeremy Richard Streynsham	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u54	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	AlunCraigWilliams	Williams, Alun Craig	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u55	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NicolaBlackwood	Blackwood, Nicola	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u56	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	AlunCraigWilliams	Williams, Alun Craig	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u57	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	NicolaBlackwood	Blackwood, Nicola	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u58	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	KarinSmyth	Smyth, Karin Marguerite	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u59	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PhilipDunne	Dunne, Philip Martin	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u60	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	KarinSmyth	Smyth, Karin Marguerite	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u61	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PhilipDunne	Dunne, Philip Martin	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u62	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JamesDuddridge	Duddridge, James Philip	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u63	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PhilipDunne	Dunne, Philip Martin	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u64	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	KeithVaz	Vaz, Keith Anthony	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u65	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PhilipDunne	Dunne, Philip Martin	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u66	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	SimonBurns	Burns, Simon Hugh McGuigan	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u67	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PhilipDunne	Dunne, Philip Martin	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u68	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	JustinMadders	Madders, Justin Piers Richard	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u69	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	PhilipDunne	Dunne, Philip Martin	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u70	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	MarieRimmer	Rimmer, Marie Elizabeth	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u71	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	ElizabethMcInnes	McInnes, Elizabeth Anne	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u72	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DavidMowat	Mowat, David	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u73	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	MarieRimmer	Rimmer, Marie Elizabeth	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u74	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Chairperson	MP	notMinister	CON	Conservative	-	Centre-right	JohnBercow	Bercow, John Simon	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u75	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	MarieRimmer	Rimmer, Marie Elizabeth	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u76	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Chairperson	MP	notMinister	CON	Conservative	-	Centre-right	JohnBercow	Bercow, John Simon	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u77	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	MarieRimmer	Rimmer, Marie Elizabeth	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u78	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Chairperson	MP	notMinister	CON	Conservative	-	Centre-right	JohnBercow	Bercow, John Simon	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u79	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DavidMowat	Mowat, David	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u80	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	ElizabethMcInnes	McInnes, Elizabeth Anne	F	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u81	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DavidMowat	Mowat, David	M	-	
ParlaMint-GB-en_2017-02-07-commons	ParlaMint-GB_2017-02-07-commons.u82	Minutes of the House of Commons, Daily Session 2017-02-07	2017-02-07	Lower house	56	-	2017-02-07	2017-02-07	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	HelenWhately	Whately, Helen Olivia Bicknell	F	-	
