Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e270	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e285	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e288	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.INGR	Ryan, Inge	M	1956	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e301	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MHG	Grimstad, May-Helen Molvær	F	1968	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e315	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MAA	Arnstad, Marit	F	1962	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e332	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BEHA	Arnesen, Bendiks H.	M	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e344	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e357	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MODA	Aukan, Modulf	M	1948	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e370	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TR	Rudihagen, Torstein	M	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e381	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.LS	Sponheim, Lars	M	1957	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e396	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
