Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u13	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u14	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	RagnheidurArnadottir	Árnadóttir, Ragnheiður E.	F	1967	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u15	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BjortOlafsdottir	Ólafsdóttir, Björt	F	1983	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u16	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	AstaHelgadottir	Helgadóttir, Ásta Guðrún	F	1990	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u17	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	LiljaAlfredsdottir	Alfreðsdóttir, Lilja	F	1973	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u18	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigrunMagnusdottir	Magnúsdóttir, Sigrún	F	1944	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u19	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OssurSkarphedinsson	Skarphéðinsson, Össur	M	1953	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u20	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteinunnArnadottir	Árnadóttir, Steinunn Þóra	F	1977	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u21	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	GudmundurSteingrimsson	Steingrímsson, Guðmundur	M	1972	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u22	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
