Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u1	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u12	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	RobertGaweł	Gaweł, Robert	M	1964	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u13	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u14	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	CzesławRyszka	Ryszka, Czesław	M	-	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u15	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanBorusewicz	Borusewicz, Bogdan	M	1949	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u16	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	JerzyWcisła	Wcisła, Jerzy	M	1958	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u17	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanBorusewicz	Borusewicz, Bogdan	M	1949	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u18	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekPęk	Pęk, Marek	M	1975	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u19	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanBorusewicz	Borusewicz, Bogdan	M	1949	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u20	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	RafałAmbrozik	Ambrozik, Rafał	M	1979	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u21	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BogdanBorusewicz	Borusewicz, Bogdan	M	1949	
