Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2019-03-20-54-commissie-ic1063x	ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-03-2019	2019-03-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
