Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e39	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e415	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OVB	Bollestad, Olaug Vervik	F	1961	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e424	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e433	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUG	Grung, Ruth	F	1959	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e456	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KOJ	Johnsen, Kristin Ørmen	F	1953	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e483	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.MOW	Wold, Morten	M	1967	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e506	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DS	Sele, Dag	M	1964	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e515	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.KJT	Toppe, Kjersti	F	1967	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e535	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OVB	Bollestad, Olaug Vervik	F	1961	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e551	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2014-11-04	ParlaMint-NO_2014-11-04.ana.ud1655e564	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2014-2015, Sitting day 2014-11-04	2014-11-04	Unicameralism	Term 2013-2017	Session 2014-2015	-	Sitting day 2014-11-04	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
