Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e197	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e213	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e221	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e227	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e279	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e299	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e329	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e338	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e372	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-12-06-lower	ParlaMint-NO_2000-12-06-lower.ana.ud2062e381	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-12-06	2000-12-06	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-12-06	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
