Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U1	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U12	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U13	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U14	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U15	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	k_kõva_19741116	Kõva, Kalvi	M	1974	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U16	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U17	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	k_kõva_19741116	Kõva, Kalvi	M	1974	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U18	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U19	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	t_kruusimäe_19670409	Kruusimäe, Tarmo	M	1967	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U20	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U21	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	k_grünthal_19600224	Grünthal, Kalle	M	1960	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U22	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
