Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u1	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u12	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmaNeppérus	Neppérus, Helma	F	1950	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u13	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartijnvanDam	van Dam, Martijn	M	1978	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u14	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u15	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u16	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u17	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u18	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u19	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u20	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u21	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
