Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u1	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u12	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HarryvanBommel	van Bommel, Harry	M	1962	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u13	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u14	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u15	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u16	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u17	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u18	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u19	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u20	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u21	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
