Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u12	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u13	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u14	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u15	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u16	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u17	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u18	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u19	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u20	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u21	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u22	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-29	ParlaMint-NL_2015-07-02-tweedekamer-29.u23	Report of the meeting of the Dutch Lower House, Meeting 104, Session 29 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 29	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
