Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-89	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18202362	Stenergard, Maria Malmer	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-91	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-94	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202415	Völker, Alexandra	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-96	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4953463	Knutsson, Helene Hellmark	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-99	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202415	Völker, Alexandra	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-100	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18244644	Nissinen, Johan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-103	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-107	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18244644	Nissinen, Johan	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-109	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-113	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6217745	Tysklind, Lars	M	-	
