Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e56	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e223	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e239	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e247	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e438	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e448	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e545	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e555	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e595	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e630	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e640	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e651	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
