Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e165	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e340	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e356	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e372	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e388	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e404	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e420	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e436	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e452	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e468	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e484	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e501	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e517	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
