Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e32	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e157	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e160	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.PK	Kårbø, Pål	M	1973	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e175	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e183	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e190	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e271	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e284	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e298	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e310	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
