Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-107	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4970595	Watz, Ingela Nylund	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-110	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-113	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4970595	Watz, Ingela Nylund	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-115	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-118	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-121	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-125	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-127	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-129	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q50353136	Widegren, John	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-133	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-136	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q50353136	Widegren, John	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-137	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-138	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4953633	Henriksson, Emma	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-141	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
