Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u16	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KolbeinnProppe	Proppé, Kolbeinn Óttarsson	M	1972	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u17	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorgerdurGunnarsdottir	Gunnarsdóttir, Þorgerður K.	F	1965	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u18	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	OlafurEsleifsson	Ísleifsson, Ólafur	M	1955	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u19	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KolbeinnProppe	Proppé, Kolbeinn Óttarsson	M	1972	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u20	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u21	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u22	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2018-06-08-73	ParlaMint-IS_2018-06-08-73.u23	Speeches in the national parliament of Iceland, 23. term, regular meeting 148-73, 08.06.2018.	2018-06-08	Unicameralism	23. kjörtímabil	148. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
