Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u33	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	GabriëlsKatja	Gabriëls, Katja	F	1975	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u34	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	JambonJan	Jambon, Jan	M	1960	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u35	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	DeMesmaekerMarc	De Mesmaeker, Marc	U	-	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u36	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	DeBolleCatherine	De Bolle, Catherine	U	-	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u37	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u38	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u39	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	KhattabiZakia	Khattabi, Zakia	F	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u40	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u41	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u42	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DemonFranky	Demon, Franky	M	1976	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u43	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	ColebundersGaby	Colebunders, Gaby	M	1972	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u44	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	DeMesmaekerMarc	De Mesmaeker, Marc	U	-	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u45	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	ColebundersGaby	Colebunders, Gaby	M	1972	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u46	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u47	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u48	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u49	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u50	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	SoorsJessika	Soors, Jessika	F	1988	
ParlaMint-BE-en_2020-09-01-55-commissie-ic255x	ParlaMint-BE_2020-09-01-55-commissie-ic255x.u51	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 01-09-2020	2020-09-01	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LaaouejAhmed	Laaouej, Ahmed	M	1969	
