Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e23	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e175	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e180	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.ANCB	Moe, Anna Ceselie Brustad	F	1975	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e189	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e197	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e204	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e237	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e253	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e400	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e416	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e426	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e435	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2009-05-19-lower	ParlaMint-NO_2009-05-19-lower.ana.ud2426e447	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-19	2009-05-19	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-19	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
