Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u1	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u12	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	MariLeenaTalvitie	Talvitie, Mari-Leena	F	1980	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u13	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u14	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	ArjaJuvonen	Juvonen, Arja	F	1967	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u15	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u16	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u17	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u18	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	JouniOvaska	Ovaska, Jouni	M	1986	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u19	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u20	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	MiaLaiho	Laiho, Mia	F	1969	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u21	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u22	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-07-02-ps-88	ParlaMint-FI_2021-07-02-ps-88.u23	Minutes of the Finnish Parliament's plenary session 88/2021, 2021-07-02	2021-07-02	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 88	2021-07-02	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
