Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u1	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u12	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u13	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u14	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u15	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u16	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u17	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u18	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u19	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u20	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u21	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u22	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2022-04-05-tweedekamer-30	ParlaMint-NL_2022-04-05-tweedekamer-30.u23	Report of the meeting of the Dutch Lower House, Meeting 68, Session 30 (2022-04-05)	2022-04-05	Lower house	Meeting of the 30th Tweede Kamer	Session 30	Meeting 68	Sitting 2022-04-05	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
